State,Consumption_total,Consumption_Non-Rewable,Consumption_Renewable,Production,
NSW,74232.902,47636.1,26596.802,79352.158,
VIC,55451.3,33829.791,21621.509,51053.9,
QLD,74256.931,53745.21,20511.721,69846.664,
WA,45659.001,37449.701,8209.3,45618.7,
SA,14594.001,3871.74,10722.261,16401,
TAS,10141.919,307.819,9834.1,12032.9,
NT,5372.561,5014.061,358.5,5373.8,
AUS,279708.543,181854.4,97854.143,279679.139,
,,,,,
,,,,,
,,,,,
